reaction,healthy_only,covid_only,shared,n_healthy_active,n_covid_active
HMR_4097,False,False,True,3,4
HMR_4099,False,False,True,5,3
HMR_4108,False,False,True,3,4
HMR_4133,False,False,True,3,4
HMR_4137,False,False,False,0,0
HMR_4281,False,False,True,5,4
HMR_4388,False,False,True,5,4
HMR_4283,False,False,True,3,2
HMR_8357,False,False,True,5,4
HMR_4379,False,False,True,5,4
HMR_4301,False,False,True,5,4
HMR_4355,False,False,True,5,4
HMR_4358,False,False,True,5,4
HMR_4360,False,False,False,0,0
HMR_4363,False,False,True,5,4
HMR_4365,False,False,True,5,4
HMR_4368,False,False,True,5,4
HMR_4370,False,False,True,5,3
HMR_4371,False,False,True,5,4
HMR_4372,False,False,True,4,3
HMR_4373,False,False,True,5,4
HMR_4375,False,False,True,5,4
HMR_4377,False,False,True,4,3
HMR_4381,False,False,True,5,4
HMR_4391,False,False,True,5,4
HMR_4394,False,False,True,5,4
HMR_4396,False,False,True,5,4
HMR_4521,False,False,True,5,4
HMR_6410,False,False,True,5,4
HMR_6412,False,False,True,5,4
HMR_7745,False,False,True,5,4
HMR_7746,False,False,True,4,4
HMR_7747,False,False,True,2,3
HMR_7748,False,False,True,5,4
HMR_7749,False,False,True,5,4
HMR_4122,False,False,True,5,4
HMR_5395,False,False,True,5,4
HMR_5396,False,False,True,5,4
HMR_9727,False,False,True,5,4
HMR_5397,False,False,True,5,4
HMR_5398,False,False,True,5,4
HMR_5399,False,True,False,0,3
HMR_5400,False,True,False,0,3
HMR_5401,False,False,True,5,4
HMR_8585,False,True,False,0,3
HMR_3944,False,False,False,0,0
HMR_4128,False,False,True,5,4
HMR_4130,False,False,True,4,4
HMR_4131,False,False,True,5,4
HMR_4132,False,False,True,5,4
HMR_4414,False,False,True,5,4
HMR_4415,False,False,False,0,0
HMR_4774,False,False,True,5,4
HMR_4775,False,False,True,5,4
HMR_4831,False,False,True,2,3
HMR_4832,False,False,False,0,0
HMR_7674,False,False,True,5,4
HMR_8764,False,False,False,0,0
HMR_8766,False,False,True,5,4
HMR_8767,False,False,True,5,4
HMR_0454,False,False,False,0,0
HMR_4297,False,False,True,5,4
HMR_4315,False,False,True,5,4
HMR_4316,False,False,True,5,4
HMR_4319,False,False,True,4,4
HMR_4383,False,False,True,5,4
HMR_4385,False,False,True,5,4
HMR_4386,False,False,True,5,4
HMR_4387,False,False,True,5,2
HMR_4399,False,False,True,5,4
HMR_4400,False,False,True,4,2
HMR_4401,False,False,False,0,0
HMR_4402,False,False,True,5,4
HMR_4490,False,False,True,4,4
HMR_4706,False,False,True,5,4
HMR_8768,False,False,True,3,2
HMR_4590,False,False,True,5,4
HMR_4591,False,False,True,5,1
HMR_4592,False,False,True,5,4
HMR_4593,True,False,False,1,0
HMR_4595,False,False,True,4,4
HMR_8342,False,False,True,5,4
HMR_8344,False,False,True,5,4
HMR_8352,False,False,True,5,4
HMR_8353,False,False,True,5,4
HMR_8727,False,False,True,5,1
HMR_8728,False,False,False,0,0
HMR_8729,False,False,False,0,0
HMR_6537,False,False,True,5,4
HMR_1568,False,False,True,3,2
HMR_3853,False,False,True,5,4
HMR_3854,False,False,True,5,4
HMR_3855,False,False,True,5,4
HMR_3857,False,False,True,5,4
HMR_3859,False,False,True,5,3
HMR_4087,False,False,True,4,3
HMR_4089,False,False,True,1,4
HMR_4091,False,False,True,4,3
HMR_4093,True,False,False,1,0
HMR_4095,True,False,False,1,0
HMR_4101,False,False,True,3,2
HMR_4103,False,False,True,4,3
HMR_4143,False,False,True,3,1
HMR_4193,False,False,True,5,4
HMR_8497,False,False,True,5,4
HMR_8498,False,False,True,1,1
HMR_8499,False,False,True,1,1
HMR_8500,False,False,True,5,4
HMR_8501,False,False,True,5,4
HMR_8502,False,False,True,5,4
HMR_8503,False,False,True,5,4
HMR_8504,False,False,True,5,4
HMR_8506,False,False,True,5,4
HMR_8507,False,False,True,5,4
HMR_8508,False,False,True,5,4
HMR_8509,False,False,True,5,4
HMR_8511,False,False,True,5,4
HMR_8512,False,False,True,3,3
HMR_8514,False,False,True,5,2
HMR_8516,False,False,True,5,4
HMR_8517,False,False,False,0,0
HMR_4280,False,False,True,5,4
HMR_0153,False,False,True,5,4
HMR_3212,False,False,True,5,4
HMR_3797,False,False,True,5,4
HMR_3800,False,False,False,0,0
HMR_4105,False,False,True,5,2
HMR_4106,False,False,True,5,2
HMR_4107,False,False,True,5,2
HMR_4282,False,False,True,5,4
HMR_4331,False,False,True,5,4
HMR_4459,False,False,True,5,4
HMR_4460,False,False,True,5,4
HMR_4464,False,False,True,5,4
HMR_4497,False,False,True,5,4
HMR_4741,False,False,True,5,4
HMR_8078,False,False,True,5,4
HMR_9803,False,False,True,1,2
HMR_9804,False,False,True,5,4
HMR_1434,False,False,True,2,3
HMR_1436,True,False,False,4,0
HMR_3163,False,False,True,5,4
HMR_4461,False,False,True,5,4
HMR_4604,False,False,True,5,3
HMR_5351,False,False,True,5,4
HMR_7709,False,False,True,5,4
HMR_4052,False,False,True,5,4
HMR_4304,False,False,True,4,2
HMR_4306,False,False,True,5,4
HMR_4350,False,False,True,5,3
HMR_4351,False,False,True,5,4
HMR_4352,False,False,True,5,4
HMR_4354,False,False,True,5,4
HMR_4398,False,False,True,5,4
HMR_4404,False,False,True,4,4
HMR_4473,False,False,True,5,4
HMR_4474,False,False,True,5,4
HMR_4476,False,False,True,5,4
HMR_4477,False,False,True,4,4
HMR_4501,False,False,True,3,4
HMR_4565,False,False,True,4,2
HMR_4567,False,False,True,5,4
HMR_4568,False,False,True,5,4
HMR_4623,False,False,True,5,4
HMR_4625,False,False,True,5,4
HMR_4710,False,False,True,1,4
HMR_4841,False,False,True,5,3
HMR_8074,True,False,False,2,0
HMR_8653,False,False,True,5,4
HMR_3998,False,False,True,5,4
HMR_4000,False,False,True,5,4
HMR_4002,False,False,True,5,4
HMR_4004,False,False,True,5,4
HMR_4010,False,False,True,5,4
HMR_4081,False,False,True,5,4
HMR_4082,False,False,True,5,4
HMR_4012,False,False,True,5,4
HMR_4014,False,False,True,5,4
HMR_4020,False,False,True,5,4
HMR_4022,False,False,True,5,4
HMR_4038,False,False,True,5,4
HMR_4040,False,False,True,5,4
HMR_4042,False,False,True,5,4
HMR_4046,False,False,True,5,3
HMR_4048,False,False,True,5,4
HMR_4080,False,False,True,5,2
HMR_4085,False,False,True,5,4
HMR_4086,False,False,True,5,4
HMR_4135,False,False,True,5,4
HMR_4168,False,False,True,5,2
HMR_4171,False,False,True,5,4
HMR_4406,False,False,True,5,3
HMR_4412,False,False,True,5,4
HMR_4417,False,False,True,5,4
HMR_4418,False,False,True,5,3
HMR_4419,False,False,True,5,3
HMR_4421,False,False,True,5,4
HMR_4449,False,False,True,5,4
HMR_4451,False,False,True,5,4
HMR_4452,False,False,True,5,3
HMR_4453,False,False,True,5,4
HMR_4480,False,False,True,5,4
HMR_4481,False,False,True,3,1
HMR_4482,False,False,True,3,1
HMR_4486,False,False,True,4,4
HMR_4487,False,False,True,4,4
HMR_4488,False,False,True,4,4
HMR_4489,False,False,True,4,4
HMR_4492,False,False,True,4,4
HMR_4493,False,False,True,4,4
HMR_4518,False,False,True,3,1
HMR_4519,False,False,True,5,4
HMR_4520,False,False,False,0,0
HMR_4573,False,False,True,5,4
HMR_4574,False,False,True,5,4
HMR_4600,False,False,True,5,2
HMR_4602,False,False,True,5,4
HMR_4603,False,False,True,5,4
HMR_4611,False,False,True,1,3
HMR_4612,False,False,True,2,2
HMR_4614,False,True,False,0,2
HMR_4615,False,True,False,0,1
HMR_4617,False,False,True,1,4
HMR_4618,False,False,False,0,0
HMR_4619,False,False,True,4,1
HMR_4621,False,False,False,0,0
HMR_4632,False,False,True,5,4
HMR_4646,False,False,True,1,4
HMR_4648,False,False,True,5,4
HMR_4649,False,False,False,0,0
HMR_4650,False,False,False,0,0
HMR_4651,False,False,True,5,4
HMR_4663,False,False,True,5,4
HMR_4664,False,False,True,5,3
HMR_4694,False,False,True,3,1
HMR_4695,False,False,True,5,4
HMR_4705,False,False,True,5,4
HMR_4709,False,False,True,5,4
HMR_4799,False,False,True,5,3
HMR_4802,False,False,True,5,3
HMR_4804,False,False,True,5,2
HMR_4808,False,False,True,5,3
HMR_4810,False,False,True,5,2
HMR_4812,False,False,True,4,4
HMR_4814,False,False,True,5,4
HMR_5301,False,True,False,0,1
HMR_5353,False,False,True,5,4
HMR_6602,False,False,True,5,4
HMR_6603,False,False,True,5,4
HMR_6605,False,False,True,5,4
HMR_6606,False,False,True,5,4
HMR_6607,False,False,True,5,4
HMR_6610,False,False,True,5,4
HMR_6611,False,False,True,5,4
HMR_7144,False,False,True,5,3
HMR_8755,False,False,False,0,0
HMR_9797,False,False,False,0,0
HMR_4016,False,False,True,5,4
HMR_4018,False,False,True,5,4
HMR_4044,False,False,True,5,4
HMR_4291,False,False,True,5,4
HMR_4420,False,False,True,5,4
HMR_4570,False,False,True,5,4
HMR_4572,False,False,True,5,4
HMR_4006,False,False,True,5,4
HMR_4028,False,False,True,5,4
HMR_4030,False,False,True,5,4
HMR_4670,False,False,True,5,4
HMR_4673,False,False,True,5,4
HMR_4675,False,False,True,5,4
HMR_6614,False,False,True,5,4
HMR_6615,False,False,True,5,4
HMR_6616,False,False,True,5,4
HMR_4635,False,False,True,5,4
HMR_3793,False,False,True,2,1
HMR_3931,False,False,True,5,4
HMR_3969,False,False,True,1,2
HMR_3970,False,False,True,5,4
HMR_4008,False,False,True,5,4
HMR_4032,False,False,True,4,2
HMR_4034,False,False,True,5,4
HMR_4036,False,False,False,0,0
HMR_4050,False,False,True,5,4
HMR_4056,False,False,True,5,4
HMR_4059,False,False,True,5,4
HMR_4060,False,False,True,5,4
HMR_4127,False,False,True,5,2
HMR_4177,False,False,True,5,4
HMR_4179,False,False,True,5,4
HMR_4182,False,False,True,5,4
HMR_4183,False,False,True,5,4
HMR_4192,False,False,True,5,4
HMR_4194,False,False,True,5,4
HMR_4210,False,False,True,5,4
HMR_4211,False,False,True,5,3
HMR_4343,False,False,True,3,2
HMR_4345,False,False,True,3,3
HMR_4346,False,False,True,5,4
HMR_4470,False,False,True,3,3
HMR_4471,False,False,True,5,4
HMR_4472,False,False,True,3,3
HMR_4484,False,False,True,5,4
HMR_4485,False,False,True,5,4
HMR_4510,False,False,True,5,4
HMR_4512,False,False,True,5,4
HMR_4513,False,False,True,2,4
HMR_4514,False,False,True,4,1
HMR_4577,False,False,True,3,3
HMR_4579,False,False,True,5,4
HMR_4580,False,False,True,4,1
HMR_4608,False,False,True,5,4
HMR_4575,False,False,True,3,3
HMR_4637,False,False,True,4,3
HMR_4642,False,False,True,5,2
HMR_4643,False,False,True,5,3
HMR_4644,False,False,True,5,4
HMR_4672,False,False,False,0,0
HMR_4676,False,False,False,0,0
HMR_4736,False,False,True,5,4
HMR_4819,False,False,True,2,4
HMR_5299,False,False,True,2,1
HMR_5352,False,True,False,0,1
HMR_6612,False,False,True,5,4
HMR_6621,False,False,True,2,3
HMR_6622,False,False,False,0,0
HMR_6623,False,False,False,0,0
HMR_6624,False,False,False,0,0
HMR_6627,False,False,True,5,4
HMR_8072,False,False,True,5,4
HMR_3965,False,False,True,5,3
HMR_3966,False,False,True,5,2
HMR_3967,False,False,True,5,4
HMR_3968,False,False,True,5,4
HMR_3999,False,False,True,2,2
HMR_4024,False,False,True,5,4
HMR_4026,False,True,False,0,2
HMR_4054,False,False,True,4,3
HMR_4061,False,False,True,5,4
HMR_4083,False,False,True,5,4
HMR_4180,False,False,False,0,0
HMR_4185,False,False,True,5,4
HMR_4186,False,False,True,5,4
HMR_4344,False,False,True,5,4
HMR_4483,False,False,True,2,1
HMR_4507,False,False,True,5,4
HMR_4516,False,False,True,5,2
HMR_4601,False,False,True,5,2
HMR_4633,False,False,True,3,1
HMR_4640,False,False,True,4,3
HMR_4641,False,False,False,0,0
HMR_4680,False,False,True,5,4
HMR_4806,False,False,True,5,3
HMR_5394,False,False,False,0,0
HMR_6625,False,False,False,0,0
HMR_6626,False,False,True,5,2
HMR_7160,False,False,True,5,4
HMR_7161,False,False,False,0,0
HMR_7162,False,False,True,5,4
HMR_7163,False,False,False,0,0
HMR_7164,False,False,False,0,0
HMR_7713,False,False,True,5,4
HMR_7716,False,False,True,5,4
HMR_7717,False,False,True,5,4
HMR_7721,False,False,True,5,4
HMR_7725,False,False,True,5,4
HMR_7728,False,False,True,5,4
HMR_7800,False,False,False,0,0
HMR_7801,False,False,True,5,4
HMR_7802,False,False,False,0,0
HMR_7863,False,False,True,5,4
HMR_7864,False,False,True,5,4
HMR_7865,False,False,True,5,4
HMR_7866,False,False,True,5,4
HMR_7867,False,False,True,5,4
HMR_7868,False,False,True,5,4
HMR_7869,False,False,True,5,4
HMR_7870,False,False,True,5,4
HMR_7871,False,False,True,5,4
HMR_7872,False,False,True,5,4
HMR_7873,False,False,True,5,4
HMR_7874,False,False,True,5,4
HMR_7875,False,False,True,5,4
HMR_7876,False,False,True,5,4
HMR_7878,False,False,True,5,4
HMR_7881,False,False,True,5,4
HMR_7882,False,False,True,5,4
HMR_7883,False,False,True,5,4
HMR_7884,False,False,True,5,4
HMR_7885,False,False,True,5,4
HMR_7886,False,False,True,5,4
HMR_7887,False,False,True,5,4
HMR_7888,False,False,True,5,4
