,Lung_Healthy,Lung_COVID19,Heart_Healthy,Heart_COVID19,Liver_Healthy,Liver_COVID19,Kidney_Healthy,Kidney_COVID19,Intestine_Healthy,Intestine_COVID19
Lung_Healthy,1.0,0.8684863523573201,0.8458899000447561,0.8188988095238096,0.8014818957080945,0.7433234421364985,0.8276455405792945,0.0,0.8549215406562054,0.85201924478787
Lung_COVID19,0.8684863523573201,1.0,0.817008797653959,0.8120189461219657,0.7881391159761674,0.7508453942918978,0.8106382978723404,0.0,0.8403052572074619,0.8643024618991794
Heart_Healthy,0.8458899000447561,0.817008797653959,1.0,0.8341872380065207,0.7824285714285715,0.7304023226876815,0.815866941418899,0.0,0.8030064423765211,0.8234945120142391
Heart_COVID19,0.8188988095238096,0.8120189461219657,0.8341872380065207,1.0,0.7549829157175398,0.7402195327891923,0.76751269035533,0.0,0.7761918355695119,0.8258908434821831
Liver_Healthy,0.8014818957080945,0.7881391159761674,0.7824285714285715,0.7549829157175398,1.0,0.7549838362068966,0.8459991380548771,0.0,0.8221882385652718,0.7957094784071789
Liver_COVID19,0.7433234421364985,0.7508453942918978,0.7304023226876815,0.7402195327891923,0.7549838362068966,1.0,0.7531284004352558,0.0,0.7474411803801675,0.7489448604492852
Kidney_Healthy,0.8276455405792945,0.8106382978723404,0.815866941418899,0.76751269035533,0.8459991380548771,0.7531284004352558,1.0,0.0,0.8327915194346289,0.8013367463026166
Kidney_COVID19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Intestine_Healthy,0.8549215406562054,0.8403052572074619,0.8030064423765211,0.7761918355695119,0.8221882385652718,0.7474411803801675,0.8327915194346289,0.0,1.0,0.8405012816861293
Intestine_COVID19,0.85201924478787,0.8643024618991794,0.8234945120142391,0.8258908434821831,0.7957094784071789,0.7489448604492852,0.8013367463026166,0.0,0.8405012816861293,1.0
