,Acyl-CoA hydrolysis,Acylglycerides metabolism,"Alanine, aspartate and glutamate metabolism",Amino sugar and nucleotide sugar metabolism,Aminoacyl-tRNA biosynthesis,Androgen metabolism,Arachidonic acid metabolism,Arginine and proline metabolism,Artificial reactions,Ascorbate and aldarate metabolism,Beta oxidation of di-unsaturated fatty acids (n-6) (mitochondrial),Beta oxidation of di-unsaturated fatty acids (n-6) (peroxisomal),Beta oxidation of even-chain fatty acids (mitochondrial),Beta oxidation of even-chain fatty acids (peroxisomal),Beta oxidation of odd-chain fatty acids (mitochondrial),Beta oxidation of odd-chain fatty acids (peroxisomal),Beta oxidation of phytanic acid (peroxisomal),Beta oxidation of poly-unsaturated fatty acids (mitochondrial),Beta oxidation of unsaturated fatty acids (n-7) (mitochondrial),Beta oxidation of unsaturated fatty acids (n-7) (peroxisomal),Beta oxidation of unsaturated fatty acids (n-9) (mitochondrial),Beta oxidation of unsaturated fatty acids (n-9) (peroxisomal),Beta-alanine metabolism,Bile acid biosynthesis,Bile acid recycling,Biopterin metabolism,Biotin metabolism,Blood group biosynthesis,Butanoate metabolism,C5-branched dibasic acid metabolism,Carnitine shuttle (cytosolic),Carnitine shuttle (endoplasmic reticular),Carnitine shuttle (mitochondrial),Carnitine shuttle (peroxisomal),Cholesterol biosynthesis 1 (Bloch pathway) ,Cholesterol biosynthesis 2,Cholesterol biosynthesis 3 (Kandustch-Russell pathway),Cholesterol metabolism,Chondroitin / heparan sulfate biosynthesis,Chondroitin sulfate degradation,CoA synthesis,Cysteine and methionine metabolism,Drug metabolism,Eicosanoid metabolism,Estrogen metabolism,Ether lipid metabolism,Exchange/demand reactions,Fatty acid activation (cytosolic),Fatty acid activation (endoplasmic reticular),Fatty acid biosynthesis,Fatty acid biosynthesis (even-chain),Fatty acid biosynthesis (odd-chain),Fatty acid biosynthesis (unsaturated),Fatty acid desaturation (even-chain),Fatty acid desaturation (odd-chain),Fatty acid elongation (even-chain),Fatty acid elongation (odd-chain),Fatty acid oxidation,Folate metabolism,Formation and hydrolysis of cholesterol esters,Fructose and mannose metabolism,Galactose metabolism,Glucocorticoid biosynthesis,Glutathione metabolism,Glycerolipid metabolism,Glycerophospholipid metabolism,"Glycine, serine and threonine metabolism",Glycolysis / Gluconeogenesis,Glycosphingolipid biosynthesis-ganglio series,Glycosphingolipid biosynthesis-globo series,Glycosphingolipid biosynthesis-lacto and neolacto series,Glycosphingolipid metabolism,Heme degradation,Heme synthesis,Heparan sulfate degradation,Histidine metabolism,Inositol phosphate metabolism,Isolated,Keratan sulfate biosynthesis,Keratan sulfate degradation,Leukotriene metabolism,Linoleate metabolism,Lipoic acid metabolism,Lysine metabolism,Metabolism of other amino acids,Miscellaneous,N-glycan metabolism,Nicotinate and nicotinamide metabolism,Nucleotide metabolism,O-glycan metabolism,Omega-3 fatty acid metabolism,Omega-6 fatty acid metabolism,Oxidative phosphorylation,Pantothenate and CoA biosynthesis,Pentose and glucuronate interconversions,Pentose phosphate pathway,Peptide metabolism,Phenylalanine metabolism,"Phenylalanine, tyrosine and tryptophan biosynthesis",Phosphatidylinositol phosphate metabolism,Pool reactions,Porphyrin metabolism,Propanoate metabolism,Prostaglandin biosynthesis,Protein assembly,Protein degradation,Protein modification,Purine metabolism,Pyrimidine metabolism,Pyruvate metabolism,ROS detoxification,Retinol metabolism,Riboflavin metabolism,Serotonin and melatonin biosynthesis,Sphingolipid metabolism,Starch and sucrose metabolism,Steroid metabolism,Sulfur metabolism,Terpenoid backbone biosynthesis,Thiamine metabolism,Transport reactions,Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism,Tryptophan metabolism,Tyrosine metabolism,Ubiquinone synthesis,Unknown,Urea cycle,"Valine, leucine, and isoleucine metabolism",Vitamin A metabolism,Vitamin B12 metabolism,Vitamin B2 metabolism,Vitamin B6 metabolism,Vitamin C metabolism,Vitamin D metabolism,Vitamin E metabolism,Xenobiotics metabolism
Lung_Healthy,1.0,1.0,0.6388888888888888,0.8518518518518519,1.0,0.20689655172413793,0.7457627118644068,0.8656716417910447,0.8571428571428571,0.6666666666666666,1.0,1.0,0.9491525423728814,0.94,0.9473684210526315,0.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.6923076923076923,0.34759358288770054,0.6666666666666666,0.8518518518518519,1.0,0.02040816326530612,1.0,0.75,1.0,0.9312977099236641,0.9181818181818182,0.75,0.9259259259259259,0.5,1.0,0.88,0.9333333333333333,0.75,0.5,0.8205128205128205,0.35121951219512193,0.6129032258064516,0.7368421052631579,1.0,0.07428571428571429,0.9850746268656716,1.0,0.8524590163934426,1.0,1.0,1.0,0.3333333333333333,1.0,0.95,1.0,0.8484162895927602,0.6470588235294118,0.630057803468208,0.8235294117647058,0.6666666666666666,0.2727272727272727,0.8823529411764706,0.1891891891891892,0.8709677419354839,0.5,0.9444444444444444,0.5625,0.7,0.7,0.7,1.0,0.5,0.9666666666666667,0.8571428571428571,0.8160919540229885,1.0,1.0,0.9605263157894737,0.8284023668639053,0.6206896551724138,1.0,0.8918918918918919,0.0,0.5454545454545454,0.8333333333333334,0.8387096774193549,0.8545454545454545,0.47368421052631576,0.8933333333333333,0.8717948717948718,0.9,0.8947368421052632,0.7692307692307693,0.896551724137931,1.0,0.5,0.6979166666666666,0.8571428571428571,0.5,1.0,0.9047619047619048,0.7377049180327869,0.125,0.0,0.875,0.8181818181818182,0.8260869565217391,0.7272727272727273,0.6,0.9333333333333333,0.6666666666666666,0.7692307692307693,0.45132743362831856,0.7272727272727273,0.17142857142857143,0.625,0.9,0.5,0.5594202898550724,0.8936170212765957,0.6666666666666666,0.6326530612244898,0.2,0.3333333333333333,0.5,0.9807692307692307,0.6666666666666666,1.0,1.0,1.0,0.0,0.8636363636363636,0.9545454545454546,0.3333333333333333
Lung_COVID19,1.0,1.0,0.6666666666666666,0.8148148148148148,1.0,0.1724137931034483,0.8220338983050848,0.746268656716418,0.8571428571428571,0.4444444444444444,1.0,1.0,0.9491525423728814,0.94,0.9473684210526315,0.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,0.6923076923076923,0.26737967914438504,0.6363636363636364,0.8518518518518519,0.46153846153846156,0.08163265306122448,0.8571428571428571,1.0,1.0,0.8625954198473282,0.9454545454545454,0.875,0.9259259259259259,0.5,1.0,0.86,0.9777777777777777,0.8636363636363636,0.5,0.7692307692307693,0.3170731707317073,0.6129032258064516,0.3157894736842105,1.0,0.09142857142857143,0.9253731343283582,1.0,0.8360655737704918,1.0,1.0,1.0,0.3333333333333333,1.0,0.95,1.0,0.8076923076923077,0.7843137254901961,0.6589595375722543,0.8235294117647058,0.6666666666666666,0.09090909090909091,0.9411764705882353,0.1891891891891892,0.8064516129032258,0.48333333333333334,0.9444444444444444,0.53125,0.7,0.5,0.65,1.0,0.5,0.9666666666666667,0.8571428571428571,0.9540229885057471,1.0,1.0,0.9605263157894737,0.8224852071005917,0.6551724137931034,1.0,0.8918918918918919,0.0,0.5454545454545454,0.8333333333333334,0.967741935483871,0.8545454545454545,0.5789473684210527,0.8933333333333333,0.9487179487179487,0.9,0.7894736842105263,0.6153846153846154,0.9310344827586207,1.0,0.5,0.6354166666666666,0.8571428571428571,0.55,0.8333333333333334,0.8095238095238095,0.6885245901639344,0.08333333333333333,0.0,0.875,0.8282828282828283,0.8115942028985508,0.7272727272727273,0.5,0.8833333333333333,0.6666666666666666,0.6153846153846154,0.3893805309734513,1.0,0.1,0.625,0.8,0.5,0.5839262187088274,0.8723404255319149,0.5833333333333334,0.5714285714285714,0.5,0.3333333333333333,0.5,0.8846153846153846,0.6666666666666666,1.0,1.0,0.6666666666666666,0.0,0.8181818181818182,0.9545454545454546,0.3333333333333333
Heart_Healthy,1.0,0.9411764705882353,0.6944444444444444,0.7777777777777778,1.0,0.27586206896551724,0.635593220338983,0.8208955223880597,0.8571428571428571,0.6666666666666666,1.0,0.3157894736842105,0.9491525423728814,0.28,0.9473684210526315,0.0,0.6666666666666666,1.0,1.0,0.125,1.0,0.07894736842105263,0.6923076923076923,0.27807486631016043,0.5757575757575758,0.48148148148148145,0.15384615384615385,0.0,0.8571428571428571,1.0,1.0,0.9770992366412213,0.9181818181818182,0.75,0.9629629629629629,0.5,1.0,0.8,0.9777777777777777,0.75,0.5,0.7692307692307693,0.23902439024390243,0.6451612903225806,0.5263157894736842,1.0,0.07809523809523809,0.9552238805970149,1.0,0.8360655737704918,1.0,1.0,1.0,0.4166666666666667,1.0,0.95,1.0,0.8416289592760181,0.6274509803921569,0.630057803468208,0.8235294117647058,0.6,0.18181818181818182,0.8823529411764706,0.1891891891891892,0.7526881720430108,0.5,0.8611111111111112,0.5,0.6,0.175,0.45,0.6666666666666666,0.5,0.9666666666666667,0.7142857142857143,0.6551724137931034,1.0,1.0,0.9605263157894737,0.8165680473372781,0.7241379310344828,1.0,0.8378378378378378,0.0,0.45454545454545453,0.7619047619047619,0.7741935483870968,0.8090909090909091,0.3684210526315789,0.76,0.8717948717948718,0.9,0.7894736842105263,0.7692307692307693,0.896551724137931,1.0,0.5,0.6041666666666666,0.7142857142857143,0.55,0.8888888888888888,0.9047619047619048,0.639344262295082,0.08333333333333333,0.0,0.5,0.8080808080808081,0.6811594202898551,0.7575757575757576,0.5,0.95,0.6666666666666666,0.6153846153846154,0.3805309734513274,0.7272727272727273,0.17142857142857143,0.625,1.0,0.5,0.5299077733860342,0.9361702127659575,0.5,0.673469387755102,0.9,0.3333333333333333,0.5,0.9615384615384616,0.6666666666666666,1.0,1.0,0.8888888888888888,0.0,0.8181818181818182,0.8636363636363636,0.0
Heart_COVID19,0.9836065573770492,1.0,0.5833333333333334,0.7777777777777778,1.0,0.10344827586206896,0.6186440677966102,0.7611940298507462,0.7142857142857143,0.5555555555555556,1.0,0.3157894736842105,0.9322033898305084,0.22,0.9473684210526315,0.0,0.3333333333333333,1.0,1.0,0.125,1.0,0.10526315789473684,0.6923076923076923,0.2192513368983957,0.6363636363636364,0.48148148148148145,0.15384615384615385,0.0,0.5714285714285714,1.0,1.0,0.9618320610687023,0.9272727272727272,0.75,0.7037037037037037,0.5,1.0,0.7,0.7777777777777778,0.6818181818181818,1.0,0.717948717948718,0.2682926829268293,0.5161290322580645,0.5789473684210527,1.0,0.07333333333333333,0.9253731343283582,1.0,0.7868852459016393,1.0,1.0,1.0,0.4166666666666667,1.0,0.95,1.0,0.7895927601809954,0.5294117647058824,0.630057803468208,0.7647058823529411,0.7333333333333333,0.36363636363636365,1.0,0.1891891891891892,0.6774193548387096,0.43333333333333335,0.8888888888888888,0.5625,0.3,0.125,0.45,0.6666666666666666,0.5,0.1,0.5714285714285714,0.735632183908046,1.0,1.0,0.9473684210526315,0.6745562130177515,0.6896551724137931,1.0,0.8378378378378378,0.0,0.38636363636363635,0.8452380952380952,0.6129032258064516,0.8,0.3684210526315789,0.52,0.9487179487179487,0.9,0.7894736842105263,0.6153846153846154,0.7586206896551724,1.0,0.5,0.5520833333333334,0.8571428571428571,0.55,0.8333333333333334,0.9047619047619048,0.5737704918032787,0.08333333333333333,0.0,0.625,0.7676767676767676,0.7391304347826086,0.7272727272727273,0.4,0.9166666666666666,0.6666666666666666,0.6153846153846154,0.336283185840708,1.0,0.11428571428571428,0.375,0.9,0.5,0.5472990777338603,0.8936170212765957,0.5,0.5102040816326531,0.3,0.3333333333333333,0.5,0.8269230769230769,0.6666666666666666,1.0,1.0,0.4444444444444444,1.0,0.8636363636363636,0.9090909090909091,0.3333333333333333
Liver_Healthy,1.0,0.8823529411764706,0.9166666666666666,0.7407407407407407,1.0,0.3448275862068966,0.6440677966101694,0.8507462686567164,0.8571428571428571,0.7777777777777778,1.0,1.0,0.9661016949152542,0.94,0.9473684210526315,0.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5384615384615384,0.6417112299465241,0.696969696969697,0.9259259259259259,1.0,0.0,0.8571428571428571,1.0,1.0,0.9618320610687023,0.9090909090909091,0.875,0.9259259259259259,0.5,1.0,0.88,0.9333333333333333,0.5454545454545454,0.5,0.8717948717948718,0.526829268292683,0.6774193548387096,0.7368421052631579,1.0,0.09142857142857143,1.0,1.0,0.8688524590163934,1.0,1.0,1.0,0.5,1.0,0.95,1.0,0.8981900452488688,0.9019607843137255,0.6069364161849711,0.7058823529411765,0.6666666666666666,0.2727272727272727,0.8823529411764706,0.9054054054054054,0.7096774193548387,0.9333333333333333,0.7222222222222222,0.5,0.3,0.15,0.45,0.6666666666666666,0.5,1.0,0.9285714285714286,0.632183908045977,1.0,1.0,0.9605263157894737,0.9349112426035503,0.6551724137931034,1.0,0.918918918918919,1.0,0.36363636363636365,0.6904761904761905,0.7741935483870968,0.8,0.3684210526315789,0.8,0.9487179487179487,0.9,0.8421052631578947,0.7692307692307693,0.8620689655172413,1.0,0.75,0.7604166666666666,0.5714285714285714,0.55,0.8333333333333334,0.9047619047619048,0.5737704918032787,0.125,0.0,0.5,0.7272727272727273,0.8260869565217391,0.8484848484848485,0.4,0.9666666666666667,0.8333333333333334,0.6923076923076923,0.34513274336283184,0.7272727272727273,0.21428571428571427,0.75,1.0,0.16666666666666666,0.560737812911726,0.9148936170212766,0.75,0.46938775510204084,0.1,0.3333333333333333,1.0,0.9230769230769231,0.6666666666666666,1.0,1.0,1.0,0.0,0.8181818181818182,0.9545454545454546,1.0
Liver_COVID19,0.9836065573770492,0.8823529411764706,0.7222222222222222,0.8148148148148148,1.0,0.27586206896551724,0.652542372881356,0.835820895522388,0.8571428571428571,0.8888888888888888,1.0,1.0,0.9491525423728814,0.7,0.9473684210526315,0.0,0.8333333333333334,1.0,1.0,0.625,1.0,0.7105263157894737,0.6153846153846154,0.48663101604278075,0.8484848484848485,0.5555555555555556,0.46153846153846156,0.0,0.8571428571428571,1.0,1.0,0.4580152671755725,0.7818181818181819,0.25,0.7407407407407407,1.0,1.0,0.9,0.5111111111111111,0.4772727272727273,1.0,0.7692307692307693,0.6048780487804878,0.5806451612903226,0.5263157894736842,1.0,0.16857142857142857,1.0,1.0,0.7704918032786885,1.0,1.0,1.0,0.5,1.0,0.95,1.0,0.7986425339366516,0.6274509803921569,0.06358381502890173,0.8235294117647058,0.7333333333333333,0.09090909090909091,0.8235294117647058,0.10810810810810811,0.6344086021505376,0.7333333333333333,0.7777777777777778,0.59375,0.1,0.125,0.4,1.0,0.5,0.1,0.9285714285714286,0.6091954022988506,1.0,1.0,0.9605263157894737,0.9289940828402367,0.7241379310344828,1.0,0.8918918918918919,0.0,0.38636363636363635,0.7738095238095238,0.4838709677419355,0.7545454545454545,0.5263157894736842,0.8133333333333334,0.8974358974358975,0.9,0.631578947368421,0.6923076923076923,0.8620689655172413,1.0,0.5,0.6458333333333334,0.42857142857142855,0.55,0.7777777777777778,0.8095238095238095,0.7049180327868853,0.125,0.0,0.75,0.7171717171717171,0.7246376811594203,0.8181818181818182,0.6,0.95,0.6666666666666666,0.6923076923076923,0.26548672566371684,0.7272727272727273,0.24285714285714285,0.5,0.9,0.5,0.6764163372859026,0.8297872340425532,0.5833333333333334,0.6122448979591837,0.3,0.3333333333333333,0.5,0.7692307692307693,0.5,1.0,1.0,0.5555555555555556,1.0,0.8181818181818182,0.9545454545454546,1.0
Kidney_Healthy,1.0,0.9411764705882353,0.8333333333333334,0.7777777777777778,1.0,0.41379310344827586,0.6779661016949152,0.9104477611940298,0.8571428571428571,0.6666666666666666,1.0,1.0,1.0,0.94,0.9473684210526315,0.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.7692307692307693,0.39572192513368987,0.696969696969697,0.5925925925925926,1.0,0.0,0.8571428571428571,1.0,1.0,0.9541984732824428,0.9181818181818182,0.75,0.9259259259259259,1.0,1.0,0.9,0.9333333333333333,0.6590909090909091,0.5,0.7948717948717948,0.3804878048780488,0.5806451612903226,0.631578947368421,1.0,0.07714285714285714,1.0,1.0,0.8360655737704918,1.0,1.0,1.0,0.3333333333333333,1.0,0.95,1.0,0.9140271493212669,0.8823529411764706,0.630057803468208,0.8823529411764706,0.7333333333333333,0.09090909090909091,0.9411764705882353,0.1891891891891892,0.7419354838709677,0.9,0.7777777777777778,0.59375,0.5,0.35,0.7,0.6666666666666666,0.75,0.9666666666666667,0.7857142857142857,0.6781609195402298,1.0,1.0,0.9605263157894737,0.9349112426035503,0.7241379310344828,1.0,0.918918918918919,1.0,0.36363636363636365,0.7380952380952381,0.7096774193548387,0.8090909090909091,0.47368421052631576,0.84,0.9487179487179487,0.9,0.8947368421052632,0.7692307692307693,0.9310344827586207,1.0,1.0,0.6666666666666666,0.8571428571428571,0.55,1.0,0.8571428571428571,0.5737704918032787,0.08333333333333333,0.0,0.625,0.8080808080808081,0.7536231884057971,0.7878787878787878,0.5,0.95,0.6666666666666666,0.5384615384615384,0.3893805309734513,0.7272727272727273,0.18571428571428572,0.625,1.0,0.5,0.5478260869565217,0.9148936170212766,0.5,0.5918367346938775,0.4,0.3333333333333333,0.5,0.9423076923076923,0.6666666666666666,1.0,1.0,1.0,0.0,0.8181818181818182,0.9545454545454546,1.0
Kidney_COVID19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Intestine_Healthy,1.0,1.0,0.7777777777777778,0.8888888888888888,1.0,0.5172413793103449,0.7457627118644068,0.8059701492537313,0.8571428571428571,0.5555555555555556,1.0,1.0,0.8305084745762712,0.94,0.9473684210526315,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6923076923076923,0.36363636363636365,0.7575757575757576,0.5555555555555556,1.0,0.3673469387755102,0.8571428571428571,1.0,1.0,0.9770992366412213,0.8909090909090909,1.0,0.9259259259259259,0.5,1.0,0.9,0.9333333333333333,0.6818181818181818,0.5,0.8461538461538461,0.5219512195121951,0.7741935483870968,0.7368421052631579,1.0,0.0761904761904762,0.9402985074626866,1.0,0.819672131147541,1.0,1.0,1.0,0.5833333333333334,1.0,0.95,1.0,0.8552036199095022,0.7058823529411765,0.630057803468208,0.8235294117647058,0.7333333333333333,0.09090909090909091,0.8823529411764706,0.972972972972973,0.8387096774193549,0.55,0.9444444444444444,0.59375,0.5,0.6,0.75,1.0,0.5,1.0,0.8571428571428571,0.8045977011494253,1.0,1.0,0.9605263157894737,0.9230769230769231,0.6551724137931034,1.0,0.8648648648648649,0.0,0.45454545454545453,0.8095238095238095,0.7419354838709677,0.8454545454545455,0.47368421052631576,0.92,0.9487179487179487,0.9,0.8947368421052632,0.7692307692307693,0.8275862068965517,1.0,0.5,0.6875,0.8571428571428571,0.55,1.0,0.9047619047619048,0.7213114754098361,0.08333333333333333,0.0,0.75,0.8181818181818182,0.782608695652174,0.7878787878787878,0.5,0.9666666666666667,0.6666666666666666,0.6153846153846154,0.5486725663716814,0.7272727272727273,0.18571428571428572,0.625,1.0,0.3333333333333333,0.5820816864295125,0.9148936170212766,0.5,0.6326530612244898,0.1,0.3333333333333333,1.0,0.9423076923076923,0.6666666666666666,1.0,1.0,1.0,0.0,0.8636363636363636,0.9545454545454546,0.0
Intestine_COVID19,1.0,1.0,0.6666666666666666,0.8148148148148148,1.0,0.034482758620689655,0.7288135593220338,0.7910447761194029,0.8571428571428571,0.4444444444444444,1.0,0.3157894736842105,0.9152542372881356,0.7,0.9473684210526315,0.0,0.3333333333333333,1.0,1.0,0.625,1.0,0.7105263157894737,0.6923076923076923,0.28342245989304815,0.696969696969697,0.5555555555555556,0.8461538461538461,0.0,0.8571428571428571,1.0,1.0,0.9236641221374046,0.9,1.0,0.7407407407407407,0.5,1.0,0.8,0.9777777777777777,0.8181818181818182,0.5,0.7692307692307693,0.36585365853658536,0.6774193548387096,0.21052631578947367,1.0,0.06952380952380953,1.0,1.0,0.8524590163934426,1.0,1.0,1.0,0.5,1.0,0.95,1.0,0.8167420814479638,0.7254901960784313,0.630057803468208,0.7058823529411765,0.7333333333333333,0.09090909090909091,0.9411764705882353,0.9594594594594594,0.7956989247311828,0.5666666666666667,0.9444444444444444,0.59375,0.5,0.15,0.6,1.0,0.5,0.8666666666666667,0.7142857142857143,0.9540229885057471,1.0,1.0,0.9605263157894737,0.8165680473372781,0.6551724137931034,1.0,0.918918918918919,0.0,0.5,0.8214285714285714,0.7741935483870968,0.8363636363636363,0.47368421052631576,0.8933333333333333,0.9743589743589743,0.9,0.7894736842105263,0.6923076923076923,0.9310344827586207,1.0,0.5,0.6041666666666666,0.8571428571428571,0.5,0.8888888888888888,0.9047619047619048,0.639344262295082,0.08333333333333333,0.0,0.75,0.797979797979798,0.782608695652174,0.7575757575757576,0.5,0.9333333333333333,0.6666666666666666,0.6153846153846154,0.3805309734513274,1.0,0.07142857142857142,0.625,0.8,0.6666666666666666,0.569433465085639,0.8936170212765957,0.5,0.6326530612244898,0.5,0.3333333333333333,0.5,0.9038461538461539,0.6666666666666666,1.0,1.0,1.0,0.0,0.8181818181818182,0.9090909090909091,0.3333333333333333
