rxn_id,rxn_name,subsystem,gene_rule,reaction,is_core
HMR_10023,,Transport reactions,,temp001c --> temp001s,True
HMR_10024,,Exchange/demand reactions,,temp001s --> ,True
HMR_3917,,Cysteine and methionine metabolism,ENSG00000116984,m01115c + m02133c --> m02039c + m02471c + m02980c,False
HMR_4165,,Biopterin metabolism,ENSG00000116096,m01170c + 2.0 m02039c + 2.0 m02555c <=> 2.0 m02554c + m02978c,False
HMR_4167,,Biopterin metabolism,ENSG00000116096,m01164c + m02039c + m02555c --> m02554c + m02978c,False
HMR_4332,,Folate metabolism,ENSG00000178700 or ENSG00000228716,m01700c + m02039c + m02553c <=> m02552c + m02980c,False
HMR_4333,,Folate metabolism,ENSG00000178700 or ENSG00000228716,m01700c + m02039c + m02555c <=> m02554c + m02980c,False
HMR_4336,,Folate metabolism,ENSG00000136010 or ENSG00000144908,m00266c + m02040c + m02554c --> m01596c + m02039c + m02555c + m02980c,False
HMR_4658,,Histidine metabolism,ENSG00000160282,m01099c + m01974c <=> m02039c + m02574c + m02980c,False
HMR_4806,,Nucleotide metabolism,ENSG00000159131,m00266c + m01940c --> m02039c + m02575c + m02980c,False
HMR_4814,,Purine metabolism,ENSG00000138363,m00266c + m01304c <=> m01804c + m02980c,False
HMR_5393,,"Glycine, serine and threonine metabolism",ENSG00000137563,6.0 m02040c + m02981c --> 6.0 m01974c + m02980c,False
HMR_6490,,Vitamin E metabolism,ENSG00000109181 or ENSG00000135220 or ENSG00000135226 or ENSG00000145626 or ENSG00000156096 or ENSG00000167165 or ENSG00000168671 or ENSG00000171234 or ENSG00000173610 or ENSG00000196620 or ENSG00000197888 or ENSG00000213759 or ENSG00000240224 or ENSG00000241119 or ENSG00000241635 or ENSG00000242366 or ENSG00000242515 or ENSG00000243135 or ENSG00000244122 or ENSG00000244474,m01923c + m03109c --> m01924c + m03106c,False
HMR_8617,,Miscellaneous,,m02040m + m03057m --> m02039m + m02751m + m02759m,True
HMR_8740,,Biopterin metabolism,,m01115c + m01698c --> m01045c + m02039c + m02978c,False
HMR_9673,,Transport reactions,,m02978n <=> m02978c,False
THBPTt,"Transport of 5,6,7,8-Tetrahydrobiopterin",Transport reactions,,m02978c <=> m02978s,False
