	ID	DESCRIPTION	SHOULD FAIL	IN	IN LB	IN UB	OUT	OUT LB	OUT UB	EQU	EQU LB	EQU UB	CHANGED RXN	CHANGED LB	CHANGED UB	PRINT FLUX	COMMENTS	REFERENCES	EXPLANATIONS
#	Growth																		
	GR	Growth on Ham's F12 media (biomass production)		arginine[e]			ALLMETSIN[e]												
				histidine[e]			biomass[e]	1											
				lysine[e]															
				methionine[e]															
				phenylalanine[e]															
				tryptophan[e]															
				tyrosine[e]															
				alanine[e]															
				glycine[e]															
				serine[e]															
				threonine[e]															
				aspartate[e]															
				glutamate[e]															
				asparagine[e]															
				glutamine[e]															
				isoleucine[e]															
				leucine[e]															
				proline[e]															
				valine[e]															
				cysteine[e]															
				thiamin[e]															
				hypoxanthine[e]															
				folate[e]															
				biotin[e]															
				pantothenate[e]															
				choline[e]															
				inositol[e]															
				nicotinamide[e]															
				pyridoxine[e]															
				riboflavin[e]															
				thymidine[e]															
				aquacob(III)alamin[e]															
				lipoic acid[e]															
				glucose[e]															
				sulfate[e]															
				linoleate[e]															
				putrescine[e]															
				pyruvate[e]															
				Ca2+[e]															
				Cu2+[e]															
				Fe2+[e]															
				Mg2+[e]															
				K+[e]															
				Na+[e]															
				Cl-[e]															
				HCO3-[e]															
				Pi[e]															
				Zn2+[e]															
				O2[e]															
				H2O[e]															
